,customer_id,age,gender,city
0,C000001,61,Other,Lisbon
1,C000002,61,Female,Coimbra
2,C000003,22,Female,Faro
3,C000004,46,Other,Lisbon
4,C000005,47,Other,Faro
5,C000006,59,Female,Faro
6,C000007,52,Female,Faro
7,C000008,59,Other,Lisbon
8,C000009,49,Female,Braga
9,C000010,48,Male,Braga
10,C000011,20,Male,Braga
11,C000012,32,Female,Coimbra
12,C000013,49,Other,Porto
13,C000014,45,Male,Faro
14,C000015,18,Male,Faro
15,C000016,23,Female,Lisbon
16,C000017,27,Female,Faro
17,C000018,63,Other,Porto
18,C000019,52,Female,Porto
19,C000020,68,Other,Coimbra
20,C000021,62,Female,Lisbon
21,C000022,23,Female,Lisbon
22,C000023,40,Male,Braga
23,C000024,42,Female,Faro
24,C000025,29,Male,Braga
25,C000026,65,Other,Faro
26,C000027,36,Male,Porto
27,C000028,25,Male,Faro
28,C000029,51,Male,Porto
29,C000030,37,Other,Coimbra
30,C000031,31,Other,Coimbra
31,C000032,36,Male,Faro
32,C000033,39,Male,Porto
33,C000034,26,Male,Lisbon
34,C000035,27,Male,Porto
35,C000036,54,Male,Porto
36,C000037,50,Male,Lisbon
37,C000038,40,Other,Lisbon
38,C000039,67,Male,Lisbon
39,C000040,54,Male,Lisbon
40,C000041,21,Other,Faro
41,C000042,52,Other,Coimbra
42,C000043,55,Female,Lisbon
43,C000044,35,Male,Faro
44,C000045,51,Other,Coimbra
45,C000046,64,Male,Porto
46,C000047,22,Male,Coimbra
47,C000048,19,Male,Porto
48,C000049,38,Female,Braga
49,C000050,29,Other,Porto
50,C000051,44,Other,Braga
51,C000052,39,Female,Porto
52,C000053,35,Female,Faro
53,C000054,43,Female,Coimbra
54,C000055,49,Female,Coimbra
55,C000056,65,Other,Coimbra
56,C000057,67,Other,Braga
57,C000058,59,Other,Porto
58,C000059,68,Female,Lisbon
59,C000060,52,Other,Coimbra
60,C000061,68,Male,Coimbra
61,C000062,58,Male,Faro
62,C000063,67,Other,Coimbra
63,C000064,44,Male,Coimbra
64,C000065,49,Female,Braga
65,C000066,21,Other,Braga
66,C000067,63,Female,Coimbra
67,C000068,56,Other,Braga
68,C000069,59,Other,Coimbra
69,C000070,33,Female,Lisbon
70,C000071,64,Male,Faro
71,C000072,29,Other,Porto
72,C000073,67,Male,Porto
73,C000074,54,Other,Braga
74,C000075,36,Other,Porto
75,C000076,47,Male,Porto
76,C000077,30,Male,Lisbon
77,C000078,35,Male,Lisbon
78,C000079,48,Other,Braga
79,C000080,18,Female,Lisbon
80,C000081,45,Female,Coimbra
81,C000082,45,Male,Lisbon
82,C000083,22,Female,Porto
83,C000084,18,Other,Faro
84,C000085,28,Other,Lisbon
85,C000086,53,Male,Lisbon
86,C000087,59,Other,Faro
87,C000088,69,Female,Porto
88,C000089,44,Male,Lisbon
89,C000090,18,Male,Faro
90,C000091,47,Other,Faro
91,C000092,59,Male,Faro
92,C000093,19,Other,Braga
93,C000094,16,Female,Faro
94,C000095,69,Other,Lisbon
95,C000096,28,Other,Faro
96,C000097,22,Male,Coimbra
97,C000098,27,Male,Braga
98,C000099,21,Male,Porto
99,C000100,26,Male,Coimbra
100,C000101,45,Other,Braga
101,C000102,20,Female,Coimbra
102,C000103,23,Other,Lisbon
103,C000104,48,Male,Braga
104,C000105,64,Male,Lisbon
105,C000106,18,Male,Faro
106,C000107,43,Unknown,Coimbra
107,C000108,20,Female,Lisbon
108,C000109,56,Male,Porto
109,C000110,55,Male,Coimbra
110,C000111,33,Female,Coimbra
111,C000112,40,Other,Porto
112,C000113,38,Other,Braga
113,C000114,39,Male,Porto
114,C000115,27,Female,Faro
115,C000116,39,Female,Faro
116,C000117,23,Female,Porto
117,C000118,62,Other,Porto
118,C000119,37,Male,Coimbra
119,C000120,47,Female,Braga
120,C000121,49,Female,Lisbon
121,C000122,54,Female,Lisbon
122,C000123,42,Female,Braga
123,C000124,45,Female,Braga
124,C000125,62,Female,Coimbra
125,C000126,21,Other,Lisbon
126,C000127,24,Female,Porto
127,C000128,69,Female,Faro
128,C000129,65,Other,Coimbra
129,C000130,59,Female,Coimbra
130,C000131,65,Male,Coimbra
131,C000132,37,Other,Lisbon
132,C000133,28,Other,Coimbra
133,C000134,25,Female,Braga
134,C000135,30,Female,Lisbon
135,C000136,38,Male,Coimbra
136,C000137,60,Female,Faro
137,C000138,30,Other,Coimbra
138,C000139,40,Other,Coimbra
139,C000140,52,Other,Lisbon
140,C000141,40,Other,Coimbra
141,C000142,17,Male,Coimbra
142,C000143,28,Female,Coimbra
143,C000144,34,Male,Braga
144,C000145,18,Male,Porto
145,C000146,19,Female,Porto
146,C000147,55,Male,Lisbon
147,C000148,39,Female,Lisbon
148,C000149,36,Female,Coimbra
149,C000150,46,Female,Coimbra
150,C000151,38,Other,Braga
151,C000152,44,Female,Faro
152,C000153,68,Other,Coimbra
153,C000154,43,Male,Porto
154,C000155,30,Female,Braga
155,C000156,58,Male,Faro
156,C000157,18,Male,Coimbra
157,C000158,58,Other,Lisbon
158,C000159,18,Female,Braga
159,C000160,55,Male,Faro
160,C000161,46,Male,Braga
161,C000162,61,Female,Faro
162,C000163,31,Female,Faro
163,C000164,51,Female,Porto
164,C000165,64,Female,Braga
165,C000166,19,Other,Faro
166,C000167,63,Female,Coimbra
167,C000168,68,Male,Braga
168,C000169,35,Other,Lisbon
169,C000170,49,Female,Porto
170,C000171,60,Male,Lisbon
171,C000172,55,Male,Braga
172,C000173,30,Female,Braga
173,C000174,43,Male,Lisbon
174,C000175,31,Male,Lisbon
175,C000176,69,Other,Porto
176,C000177,58,Other,Lisbon
177,C000178,58,Other,Coimbra
178,C000179,44,Male,Porto
179,C000180,53,Other,Faro
180,C000181,48,Other,Lisbon
181,C000182,54,Other,Lisbon
182,C000183,23,Other,Braga
183,C000184,68,Female,Lisbon
184,C000185,48,Other,Lisbon
185,C000186,17,Male,Braga
186,C000187,20,Female,Coimbra
187,C000188,63,Female,Braga
188,C000189,46,Other,Lisbon
189,C000190,17,Other,Braga
190,C000191,21,Female,Braga
191,C000192,40,Male,Lisbon
192,C000193,52,Female,Faro
193,C000194,61,Other,Lisbon
194,C000195,21,Other,Porto
195,C000196,45,Male,Lisbon
196,C000197,51,Female,Lisbon
197,C000198,66,Female,Faro
198,C000199,41,Female,Coimbra
199,C000200,26,Female,Coimbra
200,C000201,32,Male,Braga
201,C000202,43,Other,Lisbon
202,C000203,53,Other,Porto
203,C000204,60,Male,Braga
204,C000205,49,Other,Braga
205,C000206,46,Female,Faro
206,C000207,30,Female,Coimbra
207,C000208,52,Male,Porto
208,C000209,36,Male,Lisbon
209,C000210,40,Male,Faro
210,C000211,66,Male,Lisbon
211,C000212,65,Male,Lisbon
212,C000213,53,Male,Braga
213,C000214,34,Female,Porto
214,C000215,40,Other,Faro
215,C000216,53,Female,Porto
216,C000217,20,Female,Coimbra
217,C000218,27,Male,Coimbra
218,C000219,65,Male,Coimbra
219,C000220,45,Male,Braga
220,C000221,16,Other,Porto
221,C000222,28,Male,Porto
222,C000223,24,Male,Coimbra
223,C000224,45,Female,Faro
224,C000225,46,Male,Faro
225,C000226,28,Female,Braga
226,C000227,17,Female,Porto
227,C000228,17,Other,Faro
228,C000229,44,Other,Braga
229,C000230,61,Male,Porto
230,C000231,64,Female,Porto
231,C000232,68,Female,Coimbra
232,C000233,49,Female,Faro
233,C000234,29,Female,Lisbon
234,C000235,49,Female,Lisbon
235,C000236,52,Female,Braga
236,C000237,29,Female,Braga
237,C000238,38,Female,Braga
238,C000239,61,Male,Braga
239,C000240,61,Male,Faro
240,C000241,24,Male,Braga
241,C000242,61,Other,Braga
242,C000243,56,Other,Lisbon
243,C000244,55,Female,Faro
244,C000245,67,Male,Lisbon
245,C000246,52,Other,Braga
246,C000247,23,Male,Lisbon
247,C000248,27,Female,Coimbra
248,C000249,46,Female,Lisbon
249,C000250,17,Female,Lisbon
250,C000251,59,Male,Coimbra
251,C000252,60,Male,Porto
252,C000253,32,Female,Faro
253,C000254,36,Other,Porto
254,C000255,47,Male,Coimbra
255,C000256,54,Other,Braga
256,C000257,19,Male,Coimbra
257,C000258,60,Male,Coimbra
258,C000259,53,Male,Faro
259,C000260,49,Other,Lisbon
260,C000261,42,Male,Coimbra
261,C000262,36,Female,Braga
262,C000263,33,Male,Lisbon
263,C000264,48,Male,Coimbra
264,C000265,56,Other,Faro
265,C000266,34,Male,Coimbra
266,C000267,50,Female,Lisbon
267,C000268,45,Female,Lisbon
268,C000269,47,Other,Braga
269,C000270,47,Other,Porto
270,C000271,61,Male,Coimbra
271,C000272,46,Male,Faro
272,C000273,23,Male,Braga
273,C000274,69,Male,Porto
274,C000275,38,Female,Lisbon
275,C000276,68,Male,Braga
276,C000277,65,Female,Lisbon
277,C000278,63,Other,Lisbon
278,C000279,24,Other,Coimbra
279,C000280,66,Female,Lisbon
280,C000281,46,Male,Lisbon
281,C000282,31,Female,Faro
282,C000283,33,Male,Braga
283,C000284,63,Male,Porto
284,C000285,66,Male,Braga
285,C000286,17,Other,Lisbon
286,C000287,59,Male,Braga
287,C000288,66,Other,Faro
288,C000289,26,Other,Porto
289,C000290,65,Male,Lisbon
290,C000291,53,Other,Porto
291,C000292,16,Male,Porto
292,C000293,40,Other,Porto
293,C000294,34,Female,Porto
294,C000295,40,Male,Porto
295,C000296,30,Male,Porto
296,C000297,68,Male,Braga
297,C000298,34,Male,Braga
298,C000299,51,Other,Faro
299,C000300,17,Other,Braga
300,C000301,33,Male,Porto
301,C000302,51,Other,Braga
302,C000303,33,Male,Coimbra
303,C000304,34,Female,Porto
304,C000305,67,Male,Lisbon
305,C000306,44,Male,Coimbra
306,C000307,55,Other,Braga
307,C000308,36,Unknown,Lisbon
308,C000309,31,Male,Braga
309,C000310,25,Female,Coimbra
310,C000311,21,Male,Lisbon
311,C000312,28,Male,Porto
312,C000313,47,Female,Braga
313,C000314,41,Other,Porto
314,C000315,21,Male,Faro
315,C000316,67,Male,Faro
316,C000317,51,Male,Porto
317,C000318,38,Other,Faro
318,C000319,20,Other,Lisbon
319,C000320,21,Other,Lisbon
320,C000321,53,Other,Faro
321,C000322,46,Male,Lisbon
322,C000323,54,Male,Braga
323,C000324,50,Female,Porto
324,C000325,69,Male,Faro
325,C000326,61,Male,Braga
326,C000327,54,Female,Coimbra
327,C000328,54,Male,Braga
328,C000329,37,Other,Coimbra
329,C000330,67,Female,Porto
330,C000331,30,Male,Coimbra
331,C000332,30,Female,Faro
332,C000333,55,Female,Porto
333,C000334,52,Female,Braga
334,C000335,24,Other,Braga
335,C000336,16,Other,Coimbra
336,C000337,40,Male,Lisbon
337,C000338,18,Female,Coimbra
338,C000339,58,Male,Lisbon
339,C000340,68,Male,Porto
340,C000341,16,Female,Coimbra
341,C000342,68,Male,Coimbra
342,C000343,23,Male,Porto
343,C000344,18,Other,Porto
344,C000345,16,Male,Porto
345,C000346,19,Female,Coimbra
346,C000347,57,Other,Faro
347,C000348,41,Other,Coimbra
348,C000349,30,Female,Porto
349,C000350,20,Other,Porto
350,C000351,52,Male,Porto
351,C000352,44,Male,Coimbra
352,C000353,45,Male,Braga
353,C000354,63,Male,Porto
354,C000355,50,Male,Lisbon
355,C000356,42,Female,Lisbon
356,C000357,47,Female,Braga
357,C000358,69,Other,Braga
358,C000359,20,Female,Porto
359,C000360,39,Female,Faro
360,C000361,24,Male,Coimbra
361,C000362,64,Female,Braga
362,C000363,39,Male,Coimbra
363,C000364,62,Female,Braga
364,C000365,31,Male,Porto
365,C000366,49,Female,Braga
366,C000367,43,Female,Coimbra
367,C000368,39,Male,Coimbra
368,C000369,36,Male,Lisbon
369,C000370,45,Female,Faro
370,C000371,50,Female,Braga
371,C000372,17,Other,Braga
372,C000373,22,Male,Faro
373,C000374,23,Female,Lisbon
374,C000375,58,Female,Porto
375,C000376,50,Female,Coimbra
376,C000377,67,Female,Lisbon
377,C000378,49,Other,Lisbon
378,C000379,53,Female,Coimbra
379,C000380,63,Other,Porto
380,C000381,27,Female,Coimbra
381,C000382,41,Male,Braga
382,C000383,31,Female,Lisbon
383,C000384,19,Female,Lisbon
384,C000385,47,Male,Coimbra
385,C000386,20,Male,Faro
386,C000387,37,Female,Braga
387,C000388,16,Female,Coimbra
388,C000389,38,Male,Coimbra
389,C000390,60,Female,Faro
390,C000391,69,Male,Porto
391,C000392,68,Other,Coimbra
392,C000393,67,Other,Lisbon
393,C000394,46,Male,Porto
394,C000395,19,Female,Braga
