,product_id,category,color,size,season,supplier,cost_price,list_price
0,P000001,Bottoms,Black,XL,Spring,supplierb,78.26,46.45
1,P000002,Unknown,Black,M,Summer,supplierc,39.67,147.82
2,P000003,Tops,Black,XL,Summer,supplierd,27.62,44.4
3,P000004,Accessories,White,XL,Winter,supplierb,7.43,68.49
4,P000005,Accessories,Unknown,XL,Fall,suppliera,12.04,76.79
5,P000006,Shoes,Black,M,Fall,supplierc,68.69,188.02
6,P000007,Tops,Blue,S,Fall,supplierb,13.53,44.19
7,P000008,Unknown,Yellow,M,Fall,supplierc,50.03,169.59
8,P000009,Tops,Yellow,XS,Summer,supplierb,14.11,12.25
9,P000010,Accessories,Black,S,Winter,supplierd,19.63,55.4
10,P000011,Bottoms,Green,XS,Summer,supplierd,41.84,117.44
11,P000012,Tops,Green,XL,Fall,supplierb,9.55,144.51
12,P000013,Accessories,White,S,Fall,supplierc,59.1,111.37
13,P000014,Shoes,Black,XL,Fall,supplierd,35.07,177.88
14,P000015,Bottoms,Blue,XS,Spring,supplierd,32.76,144.48
15,P000016,Shoes,White,M,Spring,supplierd,31.57,133.1
16,P000017,Bottoms,White,S,Spring,supplierb,8.11,51.92
17,P000018,Accessories,Black,XL,Summer,suppliera,16.49,135.15
18,P000019,Dresses,Black,L,Winter,supplierb,28.12,43.52
19,P000020,Bottoms,White,XL,Spring,supplierb,66.05,43.82
20,P000021,Shoes,White,XS,Spring,supplierb,54.35,112.82
21,P000022,Accessories,White,XS,Fall,supplierb,74.05,120.82
22,P000023,Bottoms,Red,M,Spring,supplierb,66.23,125.1
23,P000024,Dresses,White,S,Summer,suppliera,17.35,138.67
24,P000025,Dresses,Green,L,Spring,supplierb,44.01,186.69
25,P000026,Tops,Yellow,XS,Fall,supplierd,43.24,138.89
26,P000027,Tops,Blue,S,Winter,suppliera,53.73,57.12
27,P000028,Shoes,Blue,L,Spring,supplierb,11.13,136.84
28,P000029,Bottoms,Yellow,M,Fall,supplierd,64.17,43.8
29,P000030,Bottoms,Black,S,Fall,supplierd,26.34,183.35
30,P000031,Tops,White,XL,Winter,supplierd,74.45,123.27
31,P000032,Bottoms,Blue,L,Fall,suppliera,74.55,12.25
32,P000033,Unknown,Blue,XL,Fall,supplierc,20.38,186.66
33,P000034,Dresses,Green,XL,Spring,supplierb,74.58,155.85
34,P000035,Tops,Green,L,Summer,supplierc,30.66,10.38
35,P000036,Accessories,Red,XL,Fall,supplierc,22.67,29.6
36,P000037,Tops,Yellow,L,Fall,supplierb,35.43,126.98
37,P000038,Accessories,Red,XL,Winter,supplierc,15.81,33.32
38,P000039,Dresses,Blue,M,Spring,supplierc,44.79,30.71
39,P000040,Shoes,Black,M,Spring,suppliera,19.57,126.93
40,P000041,Bottoms,Blue,S,Winter,supplierd,73.33,139.64
41,P000042,Dresses,Black,XL,Winter,suppliera,78.89,33.21
42,P000043,Bottoms,Blue,M,Winter,suppliera,14.59,143.02
43,P000044,Shoes,Green,M,Summer,supplierc,20.89,128.09
44,P000045,Shoes,White,M,Fall,supplierd,53.09,69.37
45,P000046,Dresses,Blue,XS,Summer,supplierc,62.07,102.84
46,P000047,Shoes,Red,XL,Summer,suppliera,57.1,110.61
47,P000048,Accessories,Black,S,Spring,supplierd,16.73,145.63
48,P000049,Shoes,Black,M,Spring,suppliera,26.25,149.16
49,P000050,Bottoms,Blue,L,Winter,supplierc,61.42,112.8
50,P000051,Bottoms,Black,XS,Fall,suppliera,18.57,131.39
51,P000052,Bottoms,Red,XL,Winter,supplierd,7.5,62.65
52,P000053,Bottoms,Green,S,Fall,supplierc,12.96,54.53
53,P000054,Accessories,White,M,Fall,supplierd,45.28,63.25
54,P000055,Tops,White,L,Summer,supplierc,73.49,79.45
55,P000056,Dresses,Black,XS,Fall,supplierc,71.0,161.27
56,P000057,Bottoms,Blue,L,Summer,supplierc,44.99,31.53
57,P000058,Shoes,Black,L,Summer,supplierb,56.93,65.34
58,P000059,Bottoms,Red,XS,Fall,suppliera,32.08,127.53
59,P000060,Shoes,Yellow,L,Summer,supplierc,77.17,32.16
60,P000061,Shoes,Blue,M,Winter,supplierb,24.44,52.81
61,P000062,Bottoms,Green,XS,Fall,supplierd,51.58,149.38
62,P000063,Accessories,Red,XL,Spring,supplierc,51.96,43.83
63,P000064,Shoes,Green,XS,Summer,supplierd,62.34,58.14
64,P000065,Shoes,Blue,S,Winter,suppliera,78.89,15.35
65,P000066,Bottoms,Green,M,Summer,supplierd,27.27,40.77
66,P000067,Shoes,Red,XL,Fall,suppliera,41.27,44.73
67,P000068,Shoes,Red,M,Winter,supplierc,75.14,104.09
68,P000069,Bottoms,Black,M,Fall,supplierb,50.51,190.79
69,P000070,Bottoms,Yellow,XS,Spring,supplierd,36.81,187.52
70,P000071,Unknown,Blue,XL,Fall,supplierb,52.49,14.83
71,P000072,Accessories,White,XS,Summer,supplierc,35.11,88.19
72,P000073,Accessories,Yellow,S,Spring,supplierd,56.6,174.96
73,P000074,Shoes,White,S,Spring,supplierd,54.93,107.02
74,P000075,Accessories,Green,S,Summer,suppliera,75.28,65.83
75,P000076,Shoes,White,XS,Spring,supplierb,18.28,165.99
76,P000077,Dresses,White,XS,Spring,supplierc,18.69,128.9
77,P000078,Bottoms,Red,S,Summer,supplierc,26.94,197.41
78,P000079,Bottoms,Red,XS,Winter,supplierd,61.12,166.75
79,P000080,Bottoms,Red,L,Fall,supplierd,43.19,68.02
80,P000081,Accessories,White,L,Winter,supplierc,43.58,12.37
81,P000082,Dresses,Green,L,Summer,supplierc,62.27,131.71
